scene_id,im_id,obj_id,score,R,t,time
48,1024,01,0.9477658271789551,0.982925295829773  0.1830434501171112  -0.018791045993566513  0.09719851613044739  -0.4297914206981659  0.8976813554763794  0.15623845160007477  -0.8841800689697266  -0.4402443766593933,88.6407196521759  12.632644735276699  1150.155782699585,-1
48,1587,01,0.10267648100852966,-0.2276206910610199  0.9729762077331543  -0.038807012140750885  -0.3456995189189911  -0.04348834604024887  0.9373369216918945  0.9103189706802368  0.22677287459373474  0.3462563157081604,90.35009145736694  64.92311507463455  1032.511830329895,-1
48,1137,01,0.6029002070426941,0.14256705343723297  0.9878073334693909  0.06254156678915024  0.3240165114402771  0.013127842918038368  -0.9459604620933533  -0.9352476596832275  0.15512728691101074  -0.3181942105293274,83.28541368246078  17.636803910136223  1112.7474308013916,-1
55,654,01,0.964053213596344,-0.7246060371398926  -0.6888104677200317  0.022049104794859886  -0.30586743354797363  0.292762815952301  -0.9059442281723022  0.6175687909126282  -0.663196861743927  -0.42282238602638245,99.1591364145279  111.56409233808517  1081.325888633728,-1
48,1133,01,0.8407609462738037,0.08187201619148254  0.9949417114257812  0.058206550776958466  0.2989586591720581  0.03119630180299282  -0.9537561535835266  -0.9507474899291992  0.09548728168010712  -0.2948923707008362,90.62399715185165  13.63008189946413  1126.068353652954,-1
56,119,01,0.9992021918296814,-0.9444089531898499  0.3273135721683502  0.03094428777694702  0.1067652553319931  0.3943439722061157  -0.9127398133277893  -0.31095486879348755  -0.8586958050727844  -0.40736767649650574,-45.60129716992378  8.790552616119385  873.4163641929626,-1
55,1632,01,0.9987925291061401,-0.9163851141929626  0.3942002058029175  0.06960197538137436  0.08490218222141266  0.3613221049308777  -0.9285675883293152  -0.3911902904510498  -0.8450163006782532  -0.3645786643028259,192.32876598834991  33.44844654202461  1026.8405675888062,-1
48,1124,01,0.7102202773094177,0.1430465131998062  0.9860194325447083  0.08546043932437897  0.3337382674217224  0.0332350954413414  -0.9420797228813171  -0.9317490458488464  0.1632826328277588  -0.32431820034980774,94.87427026033401  7.374957203865051  1108.90531539917,-1
56,132,01,0.9993239641189575,-0.9428921937942505  0.33087921142578125  0.03838431462645531  0.09791689366102219  0.38546741008758545  -0.917511522769928  -0.31838133931159973  -0.8613559007644653  -0.39585280418395996,-43.682072311639786  4.928343929350376  876.5295147895813,-1
55,649,01,0.9749904274940491,-0.7652463912963867  -0.643491804599762  0.01778906211256981  -0.2869128882884979  0.3162013590335846  -0.9042664170265198  0.5762630701065063  -0.6970904469490051  -0.42659792304039,96.51636332273483  107.41481184959412  1078.6011219024658,-1
48,2069,01,0.25772807002067566,0.3267754018306732  0.9389210939407349  0.10791271179914474  -0.38097047805786133  0.02636820450425148  0.9242110848426819  0.8649158477783203  -0.3431210219860077  0.3663177192211151,70.21936029195786  0.9147843811661005  874.696671962738,-1
55,1151,01,0.9964349269866943,-0.9965331554412842  0.05270332470536232  0.06437459588050842  -0.0338832251727581  0.44958555698394775  -0.8925943970680237  -0.07598458230495453  -0.8916811943054199  -0.4462411105632782,160.81424057483673  52.34137549996376  1012.0724439620972,-1
48,2083,01,0.2679722011089325,-0.438300222158432  0.8987434506416321  -0.012386364862322807  0.27292323112487793  0.11994431167840958  -0.9545292854309082  -0.856391191482544  -0.42175090312957764  -0.2978595495223999,73.92697036266327  1.5387728344649076  878.2055377960205,-1
56,553,01,0.98663330078125,-0.7104798555374146  0.703370988368988  0.022086534649133682  0.28350409865379333  0.31481316685676575  -0.9058244824409485  -0.6440838575363159  -0.6373084187507629  -0.42307689785957336,-65.54938107728958  46.126652508974075  814.6998882293701,-1
55,638,01,0.9366281032562256,-0.5973860025405884  -0.8018742799758911  0.011301219463348389  -0.3386189937591553  0.23944242298603058  -0.9099476337432861  0.7269575595855713  -0.5474167466163635  -0.4145693778991699,98.3850359916687  104.2189747095108  1074.3306875228882,-1
48,1611,01,0.18839263916015625,-0.03394103795289993  -0.1397641897201538  0.9896029829978943  -0.7197327613830566  0.6904210448265076  0.07282483577728271  -0.6934210062026978  -0.70977783203125  -0.12402647733688354,116.64675176143646  61.26973778009415  1177.018165588379,-1
56,140,01,0.9966822266578674,-0.9354902505874634  0.3502897322177887  0.046424269676208496  0.10094618797302246  0.39084213972091675  -0.9149056077003479  -0.33862659335136414  -0.8511989116668701  -0.4009894132614136,-37.18630596995354  8.103551343083382  872.6096749305725,-1
51,637,01,0.9985671043395996,0.8482179641723633  -0.5253393650054932  0.06741440296173096  -0.1406097561120987  -0.3460662364959717  -0.9276136159896851  0.510641872882843  0.777339518070221  -0.36740750074386597,109.02118682861328  40.02280905842781  1037.1999740600586,-1
51,240,01,0.9830189347267151,0.3030654788017273  -0.9526429772377014  -0.024954980239272118  -0.37886714935302734  -0.09641873836517334  -0.9204147458076477  0.8744204044342041  0.2884005308151245  -0.3901463449001312,88.7850746512413  -0.8485232247039676  1055.977463722229,-1
48,2040,01,0.18382160365581512,-0.3920064866542816  0.9198604226112366  -0.013704443350434303  0.272909939289093  0.10205095261335373  -0.956611692905426  -0.87855064868927  -0.37873804569244385  -0.2910436689853668,75.04389435052872  4.544002935290337  894.217848777771,-1
48,1586,01,0.15269063413143158,-0.05772104114294052  -0.1416647732257843  -0.9882305264472961  0.15762045979499817  0.9761723875999451  -0.1491425782442093  0.9858114123344421  -0.16437402367591858  -0.03401641547679901,65.96968322992325  90.59366583824158  1149.6657133102417,-1
48,1126,01,0.8916353583335876,0.21228985488414764  0.9735336899757385  0.08464742451906204  0.3087664246559143  0.015359409153461456  -0.9510138630867004  -0.9271441698074341  0.2280268669128418  -0.29733383655548096,94.26841884851456  8.877595886588097  1111.1171245574951,-1
56,104,01,0.9954437017440796,-0.9309365153312683  0.36326736211776733  0.03733735531568527  0.10462778806686401  0.3632812798023224  -0.9257858991622925  -0.34987181425094604  -0.8579414486885071  -0.3761996328830719,-60.05595996975899  15.65670408308506  878.7635564804077,-1
51,1092,01,0.9842182397842407,0.7619212865829468  0.6380448341369629  0.11124224960803986  0.2832464277744293  -0.17379871010780334  -0.9431678056716919  -0.5824495553970337  0.7501285672187805  -0.3131448030471802,102.35628485679626  18.716242164373398  870.8247542381287,-1
55,89,01,0.8680191040039062,-0.07600005716085434  -0.9968482851982117  -0.022749941796064377  -0.4884773790836334  0.05711281672120094  -0.8707054257392883  0.8692606687545776  -0.05506083369255066  -0.49127838015556335,92.26067364215851  101.67234390974045  957.5338363647461,-1
48,1589,01,0.7276322245597839,-0.3913211226463318  -0.8886089324951172  -0.23925291001796722  -0.5104672908782959  -0.006718355696648359  0.8598708510398865  -0.7656963467597961  0.4586164057254791  -0.45097672939300537,79.07824218273163  88.77141028642654  1234.9185943603516,-1
55,588,01,0.9716494083404541,-0.8258858323097229  -0.5638260245323181  0.0036188452504575253  -0.23990681767463684  0.3455899953842163  -0.9072005152702332  0.5102524757385254  -0.7501120567321777  -0.42068347334861755,101.59596055746078  95.59471160173416  1073.188066482544,-1
55,1049,01,0.9728710651397705,-0.9957334995269775  -0.07083221524953842  0.05914213880896568  -0.08461669087409973  0.44521036744117737  -0.8914188146591187  0.03681048005819321  -0.8926200270652771  -0.449304461479187,168.96826028823853  81.93544298410416  1005.2425861358643,-1
51,1729,01,0.9921769499778748,-0.9903122186660767  0.13881969451904297  0.0032669994980096817  0.05984729900956154  0.44793274998664856  -0.8920618891716003  -0.12529917061328888  -0.883224368095398  -0.45190131664276123,153.68381142616272  21.23650163412094  752.1336078643799,-1
48,1087,01,0.7513093948364258,0.9567533731460571  0.29027122259140015  -0.01912223920226097  0.1502656489610672  -0.4368598759174347  0.8868899345397949  0.24908483028411865  -0.8514083623886108  -0.4615849256515503,89.8052528500557  35.36270558834076  1231.3570976257324,-1
48,1724,01,0.6582940220832825,-0.92143315076828  -0.38802897930145264  -0.01986783929169178  -0.10166880488395691  0.29014986753463745  -0.9515653252601624  0.3749995827674866  -0.8747838139533997  -0.3068040907382965,97.05750644207001  29.180170968174934  1279.6638011932373,-1
48,1577,01,0.9320309162139893,-0.8303133845329285  -0.5076265931129456  -0.2299892008304596  -0.40245166420936584  0.26069802045822144  0.8775360584259033  -0.38550275564193726  0.8211893439292908  -0.42075616121292114,79.38051968812943  83.28361064195633  1231.1657667160034,-1
55,612,01,0.984179675579071,-0.7632264494895935  -0.6461307406425476  0.0006858482956886292  -0.2787451148033142  0.3283030092716217  -0.9025067687034607  0.5829121470451355  -0.6890081763267517  -0.43067532777786255,115.99001288414001  90.56763350963593  1072.4923610687256,-1
51,520,01,0.9953911304473877,0.37794438004493713  -0.9257764220237732  -0.009809023700654507  -0.37438616156578064  -0.1431344896554947  -0.9161590933799744  0.8467543721199036  0.3499295711517334  -0.40069475769996643,92.88886189460754  9.284340776503086  1081.0765027999878,-1
48,1104,01,0.6375860571861267,0.2526129484176636  0.9633772969245911  0.08995135873556137  0.3333638310432434  0.000616537407040596  -0.9427981972694397  -0.9083256125450134  0.26814955472946167  -0.3209993541240692,76.23200863599777  9.692106395959854  1081.956148147583,-1
56,753,01,0.985278844833374,-0.6075665950775146  0.7935886383056641  0.03286178410053253  0.3142944276332855  0.27820664644241333  -0.9076453447341919  -0.7294394373893738  -0.5411267876625061  -0.4184495508670807,-45.96955329179764  52.73976922035217  778.4435153007507,-1
56,578,01,0.9810822010040283,-0.7369462847709656  0.674543559551239  0.04360165819525719  0.257743239402771  0.3400465250015259  -0.904398500919342  -0.6248828172683716  -0.655255138874054  -0.42445507645606995,-37.46942803263664  37.55498304963112  824.4310021400452,-1
51,636,01,0.9987247586250305,-0.55623459815979  -0.8309757113456726  -0.009077840484678745  -0.34888237714767456  0.24341978132724762  -0.9050015807151794  0.7542441487312317  -0.5002261400222778  -0.42531129717826843,109.0967133641243  39.47160765528679  1036.1859798431396,-1
55,1055,01,0.9713252782821655,-0.9966870546340942  -0.05892801284790039  0.05605638772249222  -0.07640012353658676  0.44200441241264343  -0.8937534689903259  0.02788994088768959  -0.895075261592865  -0.4450421929359436,169.72923278808594  80.74096590280533  1003.3707618713379,-1
56,1124,01,0.9561712741851807,0.13298925757408142  -0.9904853105545044  -0.035396039485931396  -0.3406858742237091  -0.012147363275289536  -0.9400987029075623  0.9307239651679993  0.13708196580410004  -0.3390597999095917,-18.252268433570862  40.592968463897705  791.6402816772461,-1
55,1603,01,0.9987218976020813,-0.9345136880874634  0.34953945875167847  0.06712935864925385  0.07909751683473587  0.38783732056617737  -0.9183276295661926  -0.347027063369751  -0.85288006067276  -0.39008697867393494,186.20914220809937  25.08419007062912  1028.623104095459,-1
51,1687,01,0.9675726294517517,0.8805360198020935  -0.4727661609649658  0.033890582621097565  -0.1365986168384552  -0.3215852975845337  -0.9369758367538452  0.45386916399002075  0.8204115033149719  -0.3477466404438019,151.78777277469635  6.644643843173981  764.3519043922424,-1
56,634,01,0.994121253490448,-0.6527136564254761  0.755210816860199  0.0601789727807045  0.26396629214286804  0.30115705728530884  -0.9163112640380859  -0.7101315259933472  -0.5822035670280457  -0.395919531583786,-50.352826714515686  32.811857759952545  842.4122333526611,-1
51,138,01,0.9493255615234375,0.5969623327255249  -0.7995930910110474  -0.06547264754772186  -0.3866311013698578  -0.21522243320941925  -0.8967695236206055  0.7029595971107483  0.5606514811515808  -0.43762731552124023,55.413100868463516  -42.304664850234985  1036.1942052841187,-1
55,1147,01,0.9936131834983826,-0.9982999563217163  0.011595354415476322  0.05712013691663742  -0.04561551660299301  0.45461684465408325  -0.8895182013511658  -0.03628206253051758  -0.8906116485595703  -0.45331504940986633,161.59473359584808  52.66357585787773  1009.528398513794,-1
48,83,01,0.8655737042427063,-0.7569721937179565  -0.6480989456176758  -0.08343137055635452  0.2266002595424652  -0.3801080584526062  0.8967552781105042  -0.6128990650177002  0.6599133014678955  0.4345906972885132,-6.056048441678286  34.987181425094604  970.1602458953857,-1
48,1579,01,0.25362613797187805,0.03371571749448776  -0.18369966745376587  0.9824041128158569  -0.694539487361908  0.702515721321106  0.15519966185092926  -0.7186642289161682  -0.6875510215759277  -0.10390083491802216,113.65200579166412  61.49186193943024  1181.1304092407227,-1
55,1604,01,0.997735857963562,-0.9251750707626343  0.37326779961586  0.06871884316205978  0.08896888792514801  0.3893009126186371  -0.9168038964271545  -0.36896568536758423  -0.8420901894569397  -0.39338070154190063,186.95083260536194  24.718696251511574  1026.3745784759521,-1
55,598,01,0.9371466040611267,-0.9545779824256897  0.28832367062568665  -0.075170136988163  -0.19920353591442108  -0.42993220686912537  0.8806113600730896  0.2215830236673355  0.8555862903594971  0.467838853597641,106.84648901224136  89.5526334643364  1061.6639852523804,-1
55,1347,01,0.9975839853286743,-0.9825129508972168  0.16121350228786469  0.0931595116853714  -0.012913431972265244  0.44012975692749023  -0.8978415131568909  -0.18574640154838562  -0.8833438158035278  -0.43035128712654114,157.64276683330536  48.552047461271286  1006.1869621276855,-1
51,946,01,0.9972472786903381,0.7797213196754456  -0.6217921376228333  0.07354818284511566  -0.13627471029758453  -0.2831786274909973  -0.9493361115455627  0.6111170053482056  0.7301949262619019  -0.3055349290370941,105.3084060549736  28.235264122486115  910.005509853363,-1
51,1571,01,0.9896507263183594,-0.9445129632949829  0.32847344875335693  0.0008384156972169876  0.12740568816661835  0.36870044469833374  -0.9207757115364075  -0.30275946855545044  -0.8695775866508484  -0.3900916278362274,98.84212166070938  23.67250621318817  826.6823887825012,-1
48,1128,01,0.6082912087440491,-0.06803840398788452  0.996700644493103  0.04425477981567383  -0.34193629026412964  -0.06496687978506088  0.93747478723526  0.9372568726539612  0.04865197092294693  0.345228374004364,101.3018786907196  -3.096790285781026  1273.7871408462524,-1
48,1644,01,0.08746200054883957,0.8209346532821655  -0.5618073344230652  0.10217170417308807  -0.0075688790529966354  -0.18961785733699799  -0.9818288683891296  0.5709721446037292  0.8052439093589783  -0.15991610288619995,104.6198159456253  64.83554095029831  1170.2555418014526,-1
48,1631,01,0.43342626094818115,0.1355704814195633  -0.07531199604272842  0.9879012107849121  -0.7842676639556885  0.6011456251144409  0.15345364809036255  -0.6054294109344482  -0.7955827116966248  0.022432859987020493,118.18165332078934  49.59840327501297  1191.5326118469238,-1
55,128,01,0.9020535349845886,-0.29210564494132996  -0.9554766416549683  -0.04169551283121109  -0.4790761470794678  0.18391621112823486  -0.8582894802093506  0.8277440667152405  -0.2307358831167221  -0.5114690065383911,26.392711326479912  86.03697270154953  948.5180974006653,-1
51,1160,01,0.9874719977378845,0.8318637609481812  -0.5499420166015625  0.07460856437683105  -0.0977836325764656  -0.2775697410106659  -0.9557161927223206  0.546297550201416  0.7877301573753357  -0.28467556834220886,85.90476214885712  11.931618675589561  864.5089268684387,-1
55,641,01,0.9746608734130859,-0.8131964802742004  -0.5818369388580322  0.013314323499798775  -0.25710156559944153  0.3386225402355194  -0.9051151871681213  0.5221208930015564  -0.7394596338272095  -0.42495784163475037,94.78461742401123  102.7974933385849  1081.1234712600708,-1
51,1111,01,0.9932951331138611,0.8145614266395569  -0.5771360397338867  0.05834272503852844  -0.12033630162477493  -0.266512393951416  -0.9562899470329285  0.5674583315849304  0.7719361186027527  -0.2865411043167114,94.62831914424896  16.608981415629387  866.8214678764343,-1
48,2090,01,0.22406911849975586,0.4250355362892151  0.8978897333145142  0.11462553590536118  -0.4447363615036011  0.09685498476028442  0.8904093503952026  0.7883872389793396  -0.4294337034225464  0.4404909312725067,67.14560091495514  -4.250870551913977  866.8715953826904,-1
55,1088,01,0.9820647835731506,-0.9984111785888672  -0.015950361266732216  0.054044127464294434  -0.055496323853731155  0.44453367590904236  -0.8940414190292358  -0.00976414605975151  -0.8956201672554016  -0.4447125494480133,173.71702194213867  72.59959727525711  1007.6168775558472,-1
51,649,01,0.9996426105499268,-0.6884877681732178  -0.7251337170600891  0.012869471684098244  -0.31787338852882385  0.2857643961906433  -0.9040437340736389  0.6518749594688416  -0.6265140175819397  -0.4272460341453552,94.39880400896072  32.761309295892715  1036.7196798324585,-1
51,116,01,0.9722307324409485,0.9514554738998413  0.3072071969509125  0.01887465827167034  0.15235577523708344  -0.41680482029914856  -0.8961369395256042  -0.26743268966674805  0.8555100560188293  -0.4433760344982147,41.84581711888313  -17.379729077219963  1049.6900081634521,-1
56,601,01,0.9545497298240662,-0.684654176235199  0.726443886756897  0.059397075325250626  0.27863118052482605  0.33616119623184204  -0.8996445536613464  -0.6735082864761353  -0.5993955731391907  -0.4325640797615051,-33.13793241977692  41.32616147398949  839.8537635803223,-1
55,1038,01,0.9878333806991577,-0.9977197647094727  -0.03848449885845184  0.05544564500451088  -0.06687659025192261  0.4529534578323364  -0.8890224099159241  0.009099280461668968  -0.8907030820846558  -0.45449432730674744,161.63261234760284  77.73081958293915  1006.6229104995728,-1
56,1071,01,0.9815027117729187,0.24514782428741455  -0.9676289558410645  -0.05997259542346001  -0.33787861466407776  -0.027291815727949142  -0.9407938718795776  0.9087026715278625  0.25089702010154724  -0.3336316645145416,-32.18534216284752  57.42998793721199  762.1163725852966,-1
51,553,01,0.9977074861526489,0.3961629569530487  -0.9181123375892639  0.011161703616380692  -0.3524244725704193  -0.1632729321718216  -0.9214873313903809  0.8478513956069946  0.36112549901008606  -0.3882479965686798,99.8450368642807  15.3962392359972  1070.570707321167,-1
56,631,01,0.979506254196167,-0.6493185758590698  0.7583677768707275  0.05713095888495445  0.2727227509021759  0.30231398344039917  -0.9133613109588623  -0.709935188293457  -0.5774815678596497  -0.4031221568584442,-51.32722482085228  33.28922018408775  843.7424898147583,-1
56,538,01,0.990116536617279,-0.7287752628326416  0.6846284866333008  0.01306261494755745  0.2636612057685852  0.2981662154197693  -0.917376697063446  -0.631956934928894  -0.6651171445846558  -0.3978060483932495,-68.45932453870773  49.55373704433441  808.1378936767578,-1
56,570,01,0.9754729866981506,-0.7540416717529297  0.6562569737434387  0.02735425904393196  0.26699745655059814  0.3442990779876709  -0.9000948071479797  -0.6001113653182983  -0.6714054942131042  -0.43483465909957886,-41.430406272411346  32.09727630019188  823.1709003448486,-1
51,1588,01,0.9903231859207153,-0.9048692584037781  0.4256645441055298  0.004611264914274216  0.17357894778251648  0.378838449716568  -0.9090389013290405  -0.38869255781173706  -0.8217610716819763  -0.41668570041656494,99.24312680959702  12.726576067507267  815.0162100791931,-1
48,1543,01,0.08257392048835754,-0.6067555546760559  0.7852439284324646  0.12344951182603836  0.23553016781806946  0.3259338438510895  -0.9155832529067993  -0.7591924667358398  -0.5264590978622437  -0.3827107846736908,89.85909074544907  31.385641545057297  1130.9200525283813,-1
51,83,01,0.9802196621894836,0.9739511609077454  0.22601202130317688  0.018380679190158844  0.11471766233444214  -0.42118313908576965  -0.8996914029121399  -0.19559945166110992  0.8783640265464783  -0.43613937497138977,29.563168063759804  1.5388885512948036  1043.8019037246704,-1
48,1641,01,0.0764700248837471,0.8958691358566284  0.4443136155605316  -0.002003028057515621  -0.12071329355239868  0.24772772192955017  0.961280107498169  0.4276059865951538  -0.8609393835067749  0.27556613087654114,112.02847212553024  57.742852717638016  1223.2545614242554,-1
51,1149,01,0.9935967922210693,-0.6271237134933472  0.7739315629005432  0.08801072835922241  0.24969331920146942  0.3067735433578491  -0.9184461236000061  -0.7378137707710266  -0.5540036559104919  -0.3856304883956909,86.21177077293396  10.427753441035748  869.5683479309082,-1
48,2144,01,0.394127756357193,0.790168046951294  0.5981742143630981  0.13349896669387817  -0.24245479702949524  0.10502873361110687  0.9644607901573181  0.5628944635391235  -0.7944535613059998  0.2280205637216568,74.74233210086823  -1.0706150205805898  845.0571298599243,-1
51,1693,01,0.987210750579834,0.772625207901001  -0.6339528560638428  0.0339704193174839  -0.17970484495162964  -0.2697068452835083  -0.9460256099700928  0.6088976263999939  0.7248187065124512  -0.322306752204895,152.84734964370728  10.071887634694576  759.536862373352,-1
56,1046,01,0.9897217154502869,-0.2706772983074188  0.9626438617706299  0.0071095931343734264  0.40988287329673767  0.12192744761705399  -0.9039522409439087  -0.8710509538650513  -0.24176524579524994  -0.4275742173194885,-58.722902089357376  51.27126723527908  748.177170753479,-1
48,1075,01,0.5088307857513428,0.9546694159507751  0.2946998178958893  0.04193330928683281  0.08501231670379639  -0.40493446588516235  0.910385012626648  0.2852705717086792  -0.8655519485473633  -0.41163164377212524,75.54354518651962  24.830136448144913  1157.4574708938599,-1
51,407,01,0.997238278388977,0.29132741689682007  -0.9566149711608887  0.004028915427625179  -0.40358152985572815  -0.12672294676303864  -0.9061254262924194  0.867323637008667  0.26235315203666687  -0.42298999428749084,79.05573397874832  -4.444267135113478  1069.5667266845703,-1
55,1042,01,0.9686291217803955,-0.997063159942627  -0.04681650921702385  0.06060699373483658  -0.07489291578531265  0.4307137131690979  -0.899375855922699  0.016001375392079353  -0.9012736082077026  -0.4329549968242645,165.9926027059555  78.13844829797745  1006.0024261474609,-1
48,1094,01,0.45631060004234314,0.9980286359786987  -0.059937797486782074  0.01861106976866722  -0.043293897062540054  -0.4428097605705261  0.8955697417259216  -0.0454372763633728  -0.8946099281311035  -0.44453170895576477,64.87654894590378  27.495043352246284  1179.8338890075684,-1
56,603,01,0.981599748134613,-0.7011898756027222  0.7108831405639648  0.0545722171664238  0.2504615783691406  0.3172623813152313  -0.914665937423706  -0.6675342321395874  -0.6276862621307373  -0.4005100131034851,-34.264132380485535  41.124988347291946  841.5319323539734,-1
48,1874,01,0.11996271461248398,-0.2844519317150116  0.9586678743362427  -0.006583996117115021  0.30483245849609375  0.08393308520317078  -0.9487004280090332  -0.9089358448982239  -0.27186667919158936  -0.31610792875289917,54.25281077623367  5.073455162346363  981.413722038269,-1
48,1,01,0.8154670596122742,0.37449508905410767  -0.9268969893455505  -0.024807456880807877  0.3326779901981354  0.10934293270111084  0.936680018901825  -0.8654934167861938  -0.3590349853038788  0.3493066132068634,-33.83022919297218  -8.155611343681812  887.511134147644,-1
51,1566,01,0.9735028743743896,0.5569482445716858  -0.83054119348526  -0.0031643970869481564  -0.22390508651733398  -0.14647619426250458  -0.9635409712791443  0.799796998500824  0.5373509526252747  -0.2675420641899109,96.21059894561768  21.98180928826332  823.7839341163635,-1
51,1673,01,0.9642488360404968,-0.7284582853317261  0.6848093867301941  0.01961793750524521  0.29427871108055115  0.33863818645477295  -0.8937137722969055  -0.61866694688797  -0.6452600359916687  -0.4482085108757019,151.153564453125  9.020238183438778  774.8754620552063,-1
51,698,01,0.9981368780136108,0.7168774008750916  0.6832876205444336  0.1385810524225235  0.3736436665058136  -0.20871001482009888  -0.903786838054657  -0.5886231064796448  0.699684202671051  -0.4049256145954132,99.54121708869934  36.93661093711853  1015.06507396698,-1
51,1584,01,0.997209370136261,-0.8996686935424805  0.43644648790359497  0.010518861003220081  0.16556665301322937  0.363386869430542  -0.9168083667755127  -0.4039602279663086  -0.8230823874473572  -0.399188756942749,100.17602145671844  18.775127828121185  821.6181993484497,-1
55,1115,01,0.9899871945381165,-0.9984519481658936  0.00853758119046688  0.054961610585451126  -0.044901855289936066  0.4594431519508362  -0.8870714902877808  -0.03282518312335014  -0.8881661891937256  -0.4583485722541809,169.12908852100372  61.10140681266785  1012.158989906311,-1
51,1080,01,0.9929264187812805,0.8741942048072815  -0.4809951186180115  0.06654436886310577  -0.07260484248399734  -0.2649803161621094  -0.9615164995193481  0.48011767864227295  0.8357207179069519  -0.26656684279441833,115.27333408594131  27.15037204325199  870.3543543815613,-1
56,24,01,0.9941998720169067,-0.9755368828773499  0.21897172927856445  -0.019473697990179062  0.10420556366443634  0.3826026916503906  -0.918017566204071  -0.19356924295425415  -0.8975893259048462  -0.39606109261512756,-78.87168973684311  24.679843336343765  860.5172634124756,-1
55,622,01,0.983611524105072,-0.785832405090332  -0.6184234023094177  0.004483919125050306  -0.2634160816669464  0.32814618945121765  -0.9071561098098755  0.5595351457595825  -0.714053750038147  -0.420770525932312,112.43970692157745  104.65922951698303  1071.5333223342896,-1
48,1649,01,0.06092356890439987,0.04582096263766289  0.050238072872161865  0.9976856708526611  -0.7297924757003784  0.6836682558059692  -0.0009084837511181831  -0.6821315288543701  -0.7280617356300354  0.06798968464136124,76.76278054714203  89.64848518371582  1190.7501220703125,-1
56,604,01,0.9662453532218933,-0.6928367614746094  0.718529462814331  0.060768481343984604  0.2504734992980957  0.31882739067077637  -0.9141183495521545  -0.6761954426765442  -0.6181139349937439  -0.40086793899536133,-35.787686705589294  41.131045669317245  840.3054475784302,-1
55,1161,01,0.9854061603546143,-0.9952965378761292  0.07685286551713943  0.0589788444340229  -0.017671532928943634  0.4545639753341675  -0.8905388116836548  -0.09525011479854584  -0.8873924016952515  -0.4510677754878998,157.7545553445816  52.818942815065384  1008.9777708053589,-1
55,1041,01,0.972817599773407,-0.9948469400405884  -0.08249085396528244  0.05894819647073746  -0.08940188586711884  0.4394925832748413  -0.8937861323356628  0.04782188683748245  -0.8944505453109741  -0.4446026384830475,166.0100519657135  78.12198996543884  1007.9760551452637,-1
51,1536,01,0.9717459082603455,-0.9308815002441406  0.36520734429359436  0.009127993136644363  0.14109739661216736  0.38246771693229675  -0.913131833076477  -0.336973637342453  -0.84872967004776  -0.40756186842918396,88.60374242067337  12.580246664583683  841.0148024559021,-1
